code_departement,nom_departement,nom_commune,code_commune,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local,surface_terrain,population_2021,population_2015,pourcentage_chomage_2021,pourcentage_chomage_2020,pourcentage_taux_cambriolages,evolution_2016_2021,loyer_moyen,prix_moyen(m²),rendement_locatifs
11,Aude,Laurabuc,11195,214100,145,5,Maison,1014,377000,360000,10.4,10.4,5.9,-23.7,7.571762949,1476.55,6.15
11,Aude,Bize-Minervois,11041,309470,115,4,Maison,210,377000,360000,10.4,10.4,5.9,-23.7,9.346636281,2691.04,4.17
11,Aude,Bize-Minervois,11041,309470,13,1,Appartement,86,377000,360000,10.4,10.4,5.9,-23.7,8.65419591,23805.38,0.44
11,Aude,Bize-Minervois,11041,309470,41,2,Appartement,86,377000,360000,10.4,10.4,5.9,-23.7,8.65419591,7548.05,1.38
11,Aude,Bize-Minervois,11041,309470,21,1,Appartement,86,377000,360000,10.4,10.4,5.9,-23.7,8.65419591,14736.67,0.7
11,Aude,Bize-Minervois,11041,309470,19,1,Appartement,86,377000,360000,10.4,10.4,5.9,-23.7,8.65419591,16287.89,0.64
11,Aude,Bize-Minervois,11041,309470,18,1,Appartement,86,377000,360000,10.4,10.4,5.9,-23.7,8.65419591,17192.78,0.6
11,Aude,Bize-Minervois,11041,309470,36,2,Appartement,86,377000,360000,10.4,10.4,5.9,-23.7,8.65419591,8596.39,1.21
11,Aude,Bize-Minervois,11041,309470,26,1,Appartement,86,377000,360000,10.4,10.4,5.9,-23.7,8.65419591,11902.69,0.87
11,Aude,Moussoulens,11259,263000,131,5,Maison,500,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,2007.63,4.06
11,Aude,Carcassonne,11069,90000,70,4,Maison,121,377000,360000,10.4,10.4,5.9,-23.7,8.817775856,1285.71,8.23
11,Aude,Montréal,11254,125000,79,4,Maison,650,377000,360000,10.4,10.4,5.9,-23.7,8.298778358,1582.28,6.29
11,Aude,Serviès-en-Val,11378,445000,183,8,Maison,662,377000,360000,10.4,10.4,5.9,-23.7,7.529897188,2431.69,3.72
11,Aude,Sigean,11379,584410,115,3,Maison,68,377000,360000,10.4,10.4,5.9,-23.7,9.834472758,5081.83,2.32
11,Aude,Payra-sur-l'Hers,11275,138000,140,5,Maison,248,377000,360000,10.4,10.4,5.9,-23.7,7.670286055,985.71,9.34
11,Aude,Saissac,11367,65200,70,3,Maison,465,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,931.43,8.84
11,Aude,Pomas,11293,361900,145,4,Maison,775,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2495.86,3.26
11,Aude,Pomas,11293,361900,145,4,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,2495.86,3.26
11,Aude,Leucate,11202,367000,93,4,Maison,360,377000,360000,10.4,10.4,5.9,-23.7,9.69815781,3946.24,2.95
11,Aude,Belcaire,11028,122400,71,4,Maison,602,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,1723.94,4.13
11,Aude,Belvianes-et-Cavirac,11035,52000,80,3,Maison,65,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,650,10.95
11,Aude,Belflou,11030,495000,133,4,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,9.416173961,3721.8,3.04
11,Aude,Saint-Marcel-sur-Aude,11353,252000,95,4,Maison,319,377000,360000,10.4,10.4,5.9,-23.7,9.637398543,2652.63,4.36
11,Aude,Villeneuve-lès-Montréal,11432,267500,86,4,Maison,785,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,3110.47,3.01
11,Aude,Villeneuve-lès-Montréal,11432,267500,86,4,Maison,1000,377000,360000,10.4,10.4,5.9,-23.7,7.811384819,3110.47,3.01
11,Aude,Labécède-Lauragais,11181,46000,109,3,Maison,1248,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,422.02,19.3
